backbone,backbone_size,dataset,image_size,task,patch_size,backbone_modalities,backbone_bands,decoder,token_count,gmacs_encoder,gmacs_decoder,gmacs_total,params_M
terramind,base,burnscars,288,segmentation,16,['S2L2A'],"{'S2L2A': ['BLUE', 'GREEN', 'RED', 'NIR_NARROW', 'SWIR_1', 'SWIR_2']}",upernet,,27.901034496,18.183192576,46.084227072,98.184898
thor,tiny,floods,128,flood_change_detection,4,None,"['IW_VV', 'IW_VH']",,1024.0,5.443682304,,5.443682304,7.608896
thor,tiny,floods,128,flood_change_detection,4,None,"['IW_VV', 'IW_VH']",mlp,,10.887364608,0.029425664,10.916790272,0.028898
thor,tiny,floods,128,flood_change_detection,4,None,"['IW_VV', 'IW_VH']",pixelshuffle,,10.887364608,0.006291456,10.893656064,0.006176
thor,tiny,floods,128,flood_change_detection,4,None,"['IW_VV', 'IW_VH']",context_aware_mlp,,10.887364608,0.039059456,10.926424064,0.03869
thor,tiny,floods,128,flood_change_detection,8,None,"['IW_VV', 'IW_VH']",,256.0,1.371537408,,1.371537408,7.608896
thor,tiny,floods,128,flood_change_detection,8,None,"['IW_VV', 'IW_VH']",mlp,,2.743074816,0.007356416,2.750431232,0.028898
thor,tiny,floods,128,flood_change_detection,8,None,"['IW_VV', 'IW_VH']",pixelshuffle,,2.743074816,0.006291456,2.749366272,0.024704
thor,tiny,floods,128,flood_change_detection,8,None,"['IW_VV', 'IW_VH']",context_aware_mlp,,2.743074816,0.009764864,2.75283968,0.03869
thor,tiny,floods,128,flood_change_detection,16,None,"['IW_VV', 'IW_VH']",,64.0,0.34603008,,0.34603008,7.608896
thor,tiny,floods,128,flood_change_detection,16,None,"['IW_VV', 'IW_VH']",mlp,,0.69206016,0.001839104,0.693899264,0.028898
thor,tiny,floods,128,flood_change_detection,16,None,"['IW_VV', 'IW_VH']",pixelshuffle,,0.69206016,0.006291456,0.6983516160000001,0.098816
thor,tiny,floods,128,flood_change_detection,16,None,"['IW_VV', 'IW_VH']",context_aware_mlp,,0.69206016,0.002441216,0.6945013760000001,0.03869
thor,tiny,floods,128,flood_change_detection,32,None,"['IW_VV', 'IW_VH']",,16.0,0.191889408,,0.191889408,7.608896
thor,tiny,floods,128,flood_change_detection,32,None,"['IW_VV', 'IW_VH']",mlp,,0.383778816,0.000459776,0.38423859200000005,0.028898
thor,tiny,floods,128,flood_change_detection,32,None,"['IW_VV', 'IW_VH']",pixelshuffle,,0.383778816,0.006291456,0.390070272,0.395264
thor,tiny,floods,128,flood_change_detection,32,None,"['IW_VV', 'IW_VH']",context_aware_mlp,,0.383778816,0.000610304,0.38438912000000003,0.03869
terramind,tiny,floods,128,flood_change_detection,16,['S1GRD'],"{'S1GRD': ['VV', 'VH']}",,64.0,0.34603008,,0.34603008,5.432448
terramind,tiny,floods,128,flood_change_detection,16,['S1GRD'],"{'S1GRD': ['VV', 'VH']}",mlp,,0.69206016,0.001839104,0.693899264,0.028898
terramind,tiny,floods,128,flood_change_detection,16,['S1GRD'],"{'S1GRD': ['VV', 'VH']}",pixelshuffle,,0.69206016,0.006291456,0.6983516160000001,0.098816
terramind,tiny,floods,128,flood_change_detection,16,['S1GRD'],"{'S1GRD': ['VV', 'VH']}",context_aware_mlp,,0.69206016,0.002441216,0.6945013760000001,0.03869
thor,base,floods,128,flood_change_detection,4,None,"['IW_VV', 'IW_VH']",,1024.0,87.004545024,,87.004545024,94.136576
thor,base,floods,128,flood_change_detection,4,None,"['IW_VV', 'IW_VH']",mlp,,174.009090048,0.104923136,174.114013184,0.102626
thor,base,floods,128,flood_change_detection,4,None,"['IW_VV', 'IW_VH']",pixelshuffle,,174.009090048,0.025165824,174.034255872,0.024608
thor,base,floods,128,flood_change_detection,4,None,"['IW_VV', 'IW_VH']",context_aware_mlp,,174.009090048,0.143458304,174.152548352,0.141794
thor,base,floods,128,flood_change_detection,8,None,"['IW_VV', 'IW_VH']",,256.0,21.793603584,,21.793603584,94.136576
thor,base,floods,128,flood_change_detection,8,None,"['IW_VV', 'IW_VH']",mlp,,43.587207168,0.026230784,43.613437952,0.102626
thor,base,floods,128,flood_change_detection,8,None,"['IW_VV', 'IW_VH']",pixelshuffle,,43.587207168,0.025165824,43.612372992,0.098432
thor,base,floods,128,flood_change_detection,8,None,"['IW_VV', 'IW_VH']",context_aware_mlp,,43.587207168,0.035864576,43.623071744,0.141794
thor,base,floods,128,flood_change_detection,16,None,"['IW_VV', 'IW_VH']",,64.0,5.460983808,,5.460983808,94.136576
thor,base,floods,128,flood_change_detection,16,None,"['IW_VV', 'IW_VH']",mlp,,10.921967616,0.006557696,10.928525312,0.102626
thor,base,floods,128,flood_change_detection,16,None,"['IW_VV', 'IW_VH']",pixelshuffle,,10.921967616,0.025165824,10.94713344,0.393728
thor,base,floods,128,flood_change_detection,16,None,"['IW_VV', 'IW_VH']",context_aware_mlp,,10.921967616,0.008966144,10.93093376,0.141794
thor,base,floods,128,flood_change_detection,32,None,"['IW_VV', 'IW_VH']",,16.0,1.786773504,,1.786773504,94.136576
thor,base,floods,128,flood_change_detection,32,None,"['IW_VV', 'IW_VH']",mlp,,3.573547008,0.001639424,3.5751864319999997,0.102626
thor,base,floods,128,flood_change_detection,32,None,"['IW_VV', 'IW_VH']",pixelshuffle,,3.573547008,0.025165824,3.598712832,1.574912
thor,base,floods,128,flood_change_detection,32,None,"['IW_VV', 'IW_VH']",context_aware_mlp,,3.573547008,0.002241536,3.575788544,0.141794
terramind,base,floods,128,flood_change_detection,16,['S1GRD'],"{'S1GRD': ['VV', 'VH']}",,64.0,5.460983808,,5.460983808,85.34784
terramind,base,floods,128,flood_change_detection,16,['S1GRD'],"{'S1GRD': ['VV', 'VH']}",mlp,,10.921967616,0.006557696,10.928525312,0.102626
terramind,base,floods,128,flood_change_detection,16,['S1GRD'],"{'S1GRD': ['VV', 'VH']}",pixelshuffle,,10.921967616,0.025165824,10.94713344,0.393728
terramind,base,floods,128,flood_change_detection,16,['S1GRD'],"{'S1GRD': ['VV', 'VH']}",context_aware_mlp,,10.921967616,0.008966144,10.93093376,0.141794
